x,y,z,objectNum,materialNum,rotation
0,0,0,0,3,0
1,0,0,0,3,0
2,0,0,0,3,0
3,0,0,0,3,0
4,0,0,0,3,0
5,0,0,0,3,0
6,0,0,0,3,0
7,0,0,0,3,0
7,0,1,0,3,0
7,0,2,0,3,0
7,0,3,0,3,0
7,0,4,0,3,0
7,0,5,0,6,0
7,0,6,0,3,0
7,0,7,0,3,0
7,0,8,0,3,0
7,0,9,0,3,0
7,0,10,0,3,0
7,0,11,0,6,0
7,0,12,0,3,0
7,0,13,0,3,0
7,0,14,0,3,0
7,0,15,0,3,0
7,0,16,0,3,0
1,0,16,0,3,0
2,0,16,0,3,0
3,0,16,0,3,0
4,0,16,0,3,0
5,0,16,0,3,0
6,0,16,0,3,0
-12,0,16,0,3,0
-11,0,16,0,3,0
-10,0,16,0,3,0
-9,0,16,0,3,0
-8,0,16,0,3,0
-7,0,16,0,3,0
-13,0,16,0,3,0
-12,0,0,0,3,0
-11,0,0,0,3,0
-10,0,0,0,3,0
-9,0,0,0,3,0
-8,0,0,0,3,0
-7,0,0,0,3,0
-14,0,15,0,3,0
-14,0,16,0,3,0
-14,0,0,0,3,0
-14,0,1,0,3,0
-14,0,2,0,3,0
-14,0,3,0,3,0
-14,0,4,0,3,0
-14,0,5,0,6,0
-14,0,6,0,3,0
-14,0,7,0,3,0
-14,0,8,0,3,0
-14,0,9,0,3,0
-14,0,10,0,3,0
-14,0,11,0,6,0
-14,0,12,0,3,0
-14,0,13,0,3,0
-14,0,14,0,3,0
-13,0,0,0,3,0
0,0,16,0,3,0
-14,1,16,0,3,0
-13,1,16,0,3,0
-12,1,16,0,3,0
-8,1,16,0,3,0
-7,1,16,0,3,0
-14,1,0,0,3,0
-14,1,1,0,3,0
-14,1,2,0,3,0
-14,1,3,0,3,0
-14,1,4,0,3,0
-14,1,5,0,6,0
-14,1,6,0,3,0
-14,1,7,0,3,0
-14,1,8,0,3,0
-14,1,9,0,3,0
-14,1,10,0,3,0
-14,1,11,0,6,0
-14,1,12,0,3,0
-14,1,13,0,3,0
-14,1,14,0,3,0
-14,1,15,0,3,0
-13,1,0,0,3,0
-12,1,0,0,3,0
-8,1,0,0,3,0
-7,1,0,0,3,0
1,1,16,0,3,0
5,1,16,0,3,0
6,1,16,0,3,0
7,1,16,0,3,0
0,1,16,0,3,0
7,1,0,0,3,0
7,1,1,0,3,0
7,1,2,0,3,0
7,1,3,0,3,0
7,1,4,0,3,0
7,1,5,0,6,0
7,1,6,0,3,0
7,1,7,0,3,0
7,1,8,0,3,0
7,1,9,0,3,0
7,1,10,0,3,0
7,1,11,0,6,0
7,1,12,0,3,0
7,1,13,0,3,0
7,1,14,0,3,0
7,1,15,0,3,0
0,1,0,0,3,0
5,1,0,0,3,0
6,1,0,0,3,0
-14,2,16,0,3,0
-13,2,16,0,3,0
-12,2,16,0,3,0
-8,2,16,0,3,0
-7,2,16,0,3,0
-14,2,0,0,3,0
-14,2,1,0,6,0
-14,2,2,0,6,0
-14,2,3,0,6,0
-14,2,4,0,6,0
-14,2,5,0,6,0
-14,2,6,0,6,0
-14,2,7,0,6,0
-14,2,8,0,6,0
-14,2,9,0,6,0
-14,2,10,0,6,0
-14,2,11,0,6,0
-14,2,12,0,6,0
-14,2,13,0,6,0
-14,2,14,0,6,0
-14,2,15,0,6,0
-13,2,0,0,3,0
-12,2,0,0,3,0
-8,2,0,0,3,0
-7,2,0,0,3,0
0,2,0,0,3,0
5,2,0,0,3,0
6,2,0,0,3,0
7,2,0,0,3,0
7,2,1,0,6,0
7,2,2,0,6,0
7,2,3,0,6,0
7,2,4,0,6,0
7,2,5,0,6,0
7,2,6,0,6,0
7,2,7,0,6,0
7,2,8,0,6,0
7,2,9,0,6,0
7,2,10,0,6,0
7,2,11,0,6,0
7,2,12,0,6,0
7,2,13,0,6,0
7,2,14,0,6,0
7,2,15,0,6,0
7,2,16,0,3,0
0,2,16,0,3,0
1,2,16,0,3,0
5,2,16,0,3,0
6,2,16,0,3,0
-14,3,16,0,3,0
-13,3,16,0,3,0
-12,3,16,0,3,0
-11,3,16,0,3,0
-10,3,16,0,3,0
-9,3,16,0,3,0
-8,3,16,0,3,0
-7,3,16,0,3,0
-14,3,0,0,3,0
-14,3,1,0,3,0
-14,3,2,0,3,0
-14,3,3,0,3,0
-14,3,4,0,3,0
-14,3,5,0,6,0
-14,3,6,0,3,0
-14,3,7,0,3,0
-14,3,8,0,3,0
-14,3,9,0,3,0
-14,3,10,0,3,0
-14,3,11,0,6,0
-14,3,12,0,3,0
-14,3,13,0,3,0
-14,3,14,0,3,0
-14,3,15,0,3,0
-13,3,0,0,3,0
-12,3,0,0,3,0
-11,3,0,0,3,0
-10,3,0,0,3,0
-9,3,0,0,3,0
-8,3,0,0,3,0
-7,3,0,0,3,0
1,3,0,0,3,0
2,3,0,0,3,0
3,3,0,0,3,0
4,3,0,0,3,0
5,3,0,0,3,0
6,3,0,0,3,0
7,3,0,0,3,0
0,3,0,0,3,0
7,3,1,0,3,0
7,3,2,0,3,0
7,3,3,0,3,0
7,3,4,0,3,0
7,3,5,0,6,0
7,3,6,0,3,0
7,3,7,0,3,0
7,3,8,0,3,0
7,3,9,0,3,0
7,3,10,0,3,0
7,3,11,0,6,0
7,3,12,0,3,0
7,3,13,0,3,0
7,3,14,0,3,0
7,3,15,0,3,0
7,3,16,0,3,0
0,3,16,0,3,0
1,3,16,0,3,0
2,3,16,0,3,0
3,3,16,0,3,0
4,3,16,0,3,0
5,3,16,0,3,0
6,3,16,0,3,0
-10,1,0,0,6,0
-10,2,0,0,6,0
3,1,0,0,6,0
3,2,0,0,6,0
1,1,0,0,3,0
1,2,0,0,3,0
3,1,16,0,6,0
3,2,16,0,6,0
-10,1,16,0,6,0
-10,2,16,0,6,0
-14,4,0,0,3,0
-14,4,1,0,3,0
-14,4,2,0,3,0
-14,4,3,0,3,0
-14,4,4,0,3,0
-14,4,5,0,6,0
-14,4,6,0,3,0
-14,4,7,0,3,0
-14,4,8,0,3,0
-14,4,9,0,3,0
-14,4,10,0,3,0
-14,4,11,0,6,0
-14,4,12,0,3,0
-14,4,13,0,3,0
-14,4,14,0,3,0
-14,4,15,0,3,0
-14,4,16,0,3,0
-13,4,0,0,3,0
-13,4,1,0,3,0
-13,4,2,0,3,0
-13,4,3,0,3,0
-13,4,4,0,3,0
-13,4,5,0,3,0
-13,4,6,0,3,0
-13,4,7,0,3,0
-13,4,8,0,3,0
-13,4,9,0,3,0
-13,4,10,0,3,0
-13,4,11,0,3,0
-13,4,12,0,3,0
-13,4,13,0,3,0
-13,4,14,0,3,0
-13,4,15,0,3,0
-13,4,16,0,3,0
-12,4,0,0,3,0
-12,4,1,0,3,0
-12,4,2,0,3,0
-12,4,3,0,3,0
-12,4,4,0,3,0
-12,4,5,0,3,0
-12,4,6,0,3,0
-12,4,7,0,3,0
-12,4,8,0,3,0
-12,4,9,0,3,0
-12,4,10,0,3,0
-12,4,11,0,3,0
-12,4,12,0,3,0
-12,4,13,0,3,0
-12,4,14,0,3,0
-12,4,15,0,3,0
-12,4,16,0,3,0
-11,4,0,0,3,0
-11,4,1,0,3,0
-11,4,2,0,3,0
-11,4,3,0,3,0
-11,4,4,0,3,0
-11,4,5,0,3,0
-11,4,6,0,3,0
-11,4,7,0,3,0
-11,4,8,0,3,0
-11,4,9,0,3,0
-11,4,10,0,3,0
-11,4,11,0,3,0
-11,4,12,0,3,0
-11,4,13,0,3,0
-11,4,14,0,3,0
-11,4,15,0,3,0
-11,4,16,0,3,0
-10,4,0,0,3,0
-10,4,1,0,3,0
-10,4,2,0,3,0
-10,4,3,0,3,0
-10,4,4,0,3,0
-10,4,5,0,3,0
-10,4,6,0,3,0
-10,4,7,0,3,0
-10,4,8,0,3,0
-10,4,9,0,3,0
-10,4,10,0,3,0
-10,4,11,0,3,0
-10,4,12,0,3,0
-10,4,13,0,3,0
-10,4,14,0,3,0
-10,4,15,0,3,0
-10,4,16,0,3,0
-9,4,0,0,3,0
-9,4,1,0,3,0
-9,4,2,0,3,0
-9,4,3,0,3,0
-9,4,4,0,3,0
-9,4,5,0,3,0
-9,4,6,0,3,0
-9,4,7,0,3,0
-9,4,8,0,3,0
-9,4,9,0,3,0
-9,4,10,0,3,0
-9,4,11,0,3,0
-9,4,12,0,3,0
-9,4,13,0,3,0
-9,4,14,0,3,0
-9,4,15,0,3,0
-9,4,16,0,3,0
-8,4,0,0,3,0
-8,4,1,0,3,0
-8,4,2,0,3,0
-8,4,3,0,3,0
-8,4,4,0,3,0
-8,4,5,0,3,0
-8,4,6,0,3,0
-8,4,7,0,3,0
-8,4,8,0,3,0
-8,4,9,0,3,0
-8,4,10,0,3,0
-8,4,11,0,3,0
-8,4,12,0,3,0
-8,4,13,0,3,0
-8,4,14,0,3,0
-8,4,15,0,3,0
-8,4,16,0,3,0
-7,4,0,0,3,0
-7,4,1,0,3,0
-7,4,2,0,3,0
-7,4,3,0,6,0
-7,4,4,0,6,0
-7,4,5,0,6,0
-7,4,6,0,6,0
-7,4,7,0,6,0
-7,4,8,0,6,0
-7,4,9,0,3,0
-7,4,10,0,3,0
-7,4,11,0,3,0
-7,4,12,0,3,0
-7,4,13,0,6,0
-7,4,14,0,3,0
-7,4,15,0,3,0
-7,4,16,0,3,0
-6,4,0,0,3,0
-6,4,1,0,3,0
-6,4,2,0,3,0
-6,4,3,0,3,0
-6,4,4,0,3,0
-6,4,5,0,3,0
-6,4,6,0,3,0
-6,4,7,0,3,0
-6,4,8,0,6,0
-6,4,9,0,3,0
-6,4,10,0,3,0
-6,4,11,0,3,0
-6,4,12,0,3,0
-6,4,13,0,6,0
-6,4,14,0,3,0
-6,4,15,0,3,0
-6,4,16,0,3,0
-5,4,0,0,3,0
-5,4,1,0,3,0
-5,4,2,0,3,0
-5,4,3,0,3,0
-5,4,4,0,3,0
-5,4,5,0,3,0
-5,4,6,0,3,0
-5,4,7,0,3,0
-5,4,8,0,6,0
-5,4,9,0,3,0
-5,4,10,0,3,0
-5,4,11,0,3,0
-5,4,12,0,3,0
-5,4,13,0,6,0
-5,4,14,0,3,0
-5,4,15,0,3,0
-5,4,16,0,3,0
-4,4,0,0,3,0
-4,4,1,0,3,0
-4,4,2,0,3,0
-4,4,3,0,3,0
-4,4,4,0,3,0
-4,4,5,0,3,0
-4,4,6,0,3,0
-4,4,7,0,3,0
-4,4,8,0,6,0
-4,4,9,0,3,0
-4,4,10,0,3,0
-4,4,11,0,3,0
-4,4,12,0,3,0
-4,4,13,0,6,0
-4,4,14,0,3,0
-4,4,15,0,3,0
-4,4,16,0,3,0
-3,4,0,0,3,0
-3,4,1,0,3,0
-3,4,2,0,3,0
-3,4,3,0,3,0
-3,4,4,0,3,0
-3,4,5,0,3,0
-3,4,6,0,3,0
-3,4,7,0,3,0
-3,4,8,0,6,0
-3,4,9,0,3,0
-3,4,10,0,3,0
-3,4,11,0,3,0
-3,4,12,0,3,0
-3,4,13,0,6,0
-3,4,14,0,3,0
-3,4,15,0,3,0
-3,4,16,0,3,0
-2,4,0,0,3,0
-2,4,1,0,3,0
-2,4,2,0,3,0
-2,4,3,0,6,0
-2,4,4,0,6,0
-2,4,5,0,6,0
-2,4,6,0,6,0
-2,4,7,0,6,0
-2,4,8,0,6,0
-2,4,9,0,6,0
-2,4,10,0,6,0
-2,4,11,0,6,0
-2,4,12,0,6,0
-2,4,13,0,6,0
-2,4,14,0,3,0
-2,4,15,0,3,0
-2,4,16,0,3,0
-1,4,0,0,3,0
-1,4,1,0,3,0
-1,4,2,0,3,0
-1,4,3,0,6,0
-1,4,4,0,3,0
-1,4,5,0,3,0
-1,4,6,0,3,0
-1,4,7,0,3,0
-1,4,8,0,6,0
-1,4,9,0,3,0
-1,4,10,0,3,0
-1,4,11,0,3,0
-1,4,12,0,3,0
-1,4,13,0,3,0
-1,4,14,0,3,0
-1,4,15,0,3,0
-1,4,16,0,3,0
0,4,0,0,3,0
0,4,1,0,3,0
0,4,2,0,3,0
0,4,3,0,6,0
0,4,4,0,3,0
0,4,5,0,3,0
0,4,6,0,3,0
0,4,7,0,3,0
0,4,8,0,6,0
0,4,9,0,3,0
0,4,10,0,3,0
0,4,11,0,3,0
0,4,12,0,3,0
0,4,13,0,3,0
0,4,14,0,3,0
0,4,15,0,3,0
0,4,16,0,3,0
1,4,0,0,3,0
1,4,1,0,3,0
1,4,2,0,3,0
1,4,3,0,6,0
1,4,4,0,3,0
1,4,5,0,3,0
1,4,6,0,3,0
1,4,7,0,3,0
1,4,8,0,6,0
1,4,9,0,3,0
1,4,10,0,3,0
1,4,11,0,3,0
1,4,12,0,3,0
1,4,13,0,3,0
1,4,14,0,3,0
1,4,15,0,3,0
1,4,16,0,3,0
2,4,0,0,3,0
2,4,1,0,3,0
2,4,2,0,3,0
2,4,3,0,6,0
2,4,4,0,3,0
2,4,5,0,3,0
2,4,6,0,3,0
2,4,7,0,3,0
2,4,8,0,6,0
2,4,9,0,3,0
2,4,10,0,3,0
2,4,11,0,3,0
2,4,12,0,3,0
2,4,13,0,3,0
2,4,14,0,3,0
2,4,15,0,3,0
2,4,16,0,3,0
3,4,0,0,3,0
3,4,1,0,3,0
3,4,2,0,3,0
3,4,3,0,6,0
3,4,4,0,3,0
3,4,5,0,3,0
3,4,6,0,3,0
3,4,7,0,3,0
3,4,8,0,6,0
3,4,9,0,6,0
3,4,10,0,6,0
3,4,11,0,6,0
3,4,12,0,6,0
3,4,13,0,6,0
3,4,14,0,6,0
3,4,15,0,3,0
3,4,16,0,3,0
4,4,0,0,3,0
4,4,1,0,3,0
4,4,2,0,3,0
4,4,3,0,3,0
4,4,4,0,3,0
4,4,5,0,3,0
4,4,6,0,3,0
4,4,7,0,3,0
4,4,8,0,3,0
4,4,9,0,3,0
4,4,10,0,3,0
4,4,11,0,3,0
4,4,12,0,3,0
4,4,13,0,3,0
4,4,14,0,3,0
4,4,15,0,3,0
4,4,16,0,3,0
5,4,0,0,3,0
5,4,1,0,3,0
5,4,2,0,3,0
5,4,3,0,3,0
5,4,4,0,3,0
5,4,5,0,3,0
5,4,6,0,3,0
5,4,7,0,3,0
5,4,8,0,3,0
5,4,9,0,3,0
5,4,10,0,3,0
5,4,11,0,3,0
5,4,12,0,3,0
5,4,13,0,3,0
5,4,14,0,3,0
5,4,15,0,3,0
5,4,16,0,3,0
6,4,0,0,3,0
6,4,1,0,3,0
6,4,2,0,3,0
6,4,3,0,3,0
6,4,4,0,3,0
6,4,5,0,3,0
6,4,6,0,3,0
6,4,7,0,3,0
6,4,8,0,3,0
6,4,9,0,3,0
6,4,10,0,3,0
6,4,11,0,3,0
6,4,12,0,3,0
6,4,13,0,3,0
6,4,14,0,3,0
6,4,15,0,3,0
6,4,16,0,3,0
7,4,0,0,3,0
7,4,1,0,3,0
7,4,2,0,3,0
7,4,3,0,3,0
7,4,4,0,3,0
7,4,5,0,6,0
7,4,6,0,3,0
7,4,7,0,3,0
7,4,8,0,3,0
7,4,9,0,3,0
7,4,10,0,3,0
7,4,11,0,6,0
7,4,12,0,3,0
7,4,13,0,3,0
7,4,14,0,3,0
7,4,15,0,3,0
7,4,16,0,3,0
-9,1,0,0,6,0
-9,2,0,0,6,0
2,1,0,0,6,0
2,2,0,0,6,0
-11,1,0,0,3,0
-11,2,0,0,3,0
4,1,0,0,3,0
4,2,0,0,3,0
4,1,16,0,3,0
4,2,16,0,3,0
-11,1,16,0,3,0
-11,2,16,0,3,0
2,1,16,0,6,0
2,2,16,0,6,0
-9,1,16,0,6,0
-9,2,16,0,6,0
