x,y,z,objectNum,materialNum,rotation
0,0,0,0,1,0
0,0,-1,0,1,0
0,0,-2,0,1,0
0,0,-3,0,1,0
0,0,-4,0,1,0
-1,0,-4,0,1,0
-1,0,-3,0,1,0
-1,0,-2,0,1,0
-1,0,-1,0,1,0
-1,0,0,0,1,0
-2,0,-4,0,1,0
-2,0,-3,0,1,0
-2,0,-2,0,1,0
-2,0,-1,0,1,0
-2,0,0,0,1,0
-2,1,-4,8,1,11
-2,1,-3,8,1,11
-2,1,-2,8,1,11
-2,1,-1,8,1,11
-2,1,0,8,1,11
-3,1,-4,9,1,11
-3,1,-3,9,1,11
-3,1,-2,9,1,11
-3,1,-1,9,1,11
-3,1,0,9,1,11
-4,2,-4,8,1,11
-4,2,-3,8,1,11
-4,2,-2,8,1,11
-4,2,-1,8,1,11
-4,2,0,8,1,11
-5,2,-4,9,1,11
-5,2,-3,9,1,11
-5,2,-2,9,1,11
-5,2,-1,9,1,11
-5,2,0,9,1,11
-6,3,-4,8,1,11
-6,3,-3,8,1,11
-6,3,-2,8,1,11
-6,3,-1,8,1,11
-6,3,0,8,1,11
-7,3,0,9,1,11
-7,3,-1,9,1,11
-7,3,-2,9,1,11
-7,3,-3,9,1,11
-7,3,-4,9,1,11
-8,4,-4,8,1,11
-8,4,-3,8,1,11
-8,4,-2,8,1,11
-8,4,-1,8,1,11
-8,4,0,8,1,11
-9,4,0,9,1,11
-9,4,-1,9,1,11
-9,4,-2,9,1,11
-9,4,-3,9,1,11
-9,4,-4,9,1,11
-10,5,0,8,1,11
-10,5,-2,8,1,11
-10,5,-1,8,1,11
-10,5,-3,8,1,11
-10,5,-4,8,1,11
-11,5,-4,9,1,11
-11,5,-3,9,1,11
-11,5,-2,9,1,11
-11,5,-1,9,1,11
-11,5,0,9,1,11
-12,6,-4,8,1,11
-12,6,-3,8,1,11
-12,6,-2,8,1,11
-12,6,-1,8,1,11
-12,6,0,8,1,11
-13,6,0,9,1,11
-13,6,-1,9,1,11
-13,6,-2,9,1,11
-13,6,-3,9,1,11
-13,6,-4,9,1,11
-14,6,0,0,1,0
-14,6,-1,0,1,0
-14,6,-2,0,1,0
-14,6,-3,0,1,0
-14,6,-4,0,1,0
-15,6,0,0,1,0
-15,6,-1,0,1,0
-15,6,-2,0,1,0
-15,6,-3,0,1,0
-15,6,-4,0,1,0
-16,6,0,0,1,0
-16,6,-1,0,1,0
-16,6,-2,0,1,0
-16,6,-3,0,1,0
-16,6,-4,0,1,0
-17,6,0,0,1,0
-17,6,-1,0,1,0
-17,6,-2,0,1,0
-17,6,-3,0,1,0
-17,6,-4,0,1,0
-40,6,-4,0,1,0
-40,6,-3,0,1,0
-40,6,-2,0,1,0
-40,6,-1,0,1,0
-40,6,0,0,1,0
-39,6,-4,0,1,0
-39,6,-3,0,1,0
-39,6,-2,0,1,0
-39,6,-1,0,1,0
-39,6,0,0,1,0
-38,6,-4,0,1,0
-38,6,-3,0,1,0
