x,y,z,objectNum,materialNum,rotation
0,0,0,0,9,0
0,0,1,0,9,0
0,0,2,0,9,0
0,0,3,0,9,0
0,0,4,0,9,0
0,0,5,0,9,0
0,0,6,0,9,0
0,0,-7,0,9,0
0,0,-8,0,9,0
0,0,-9,0,9,0
0,0,-10,0,9,0
0,0,-11,0,9,0
0,0,-12,0,9,0
0,0,7,0,9,0
1,0,7,0,9,0
2,0,7,0,9,0
3,0,7,0,9,0
4,0,7,0,9,0
5,0,7,0,6,0
6,0,7,0,9,0
7,0,7,0,9,0
8,0,7,0,9,0
9,0,7,0,9,0
10,0,7,0,9,0
11,0,7,0,6,0
12,0,7,0,9,0
13,0,7,0,9,0
14,0,7,0,9,0
15,0,7,0,9,0
16,0,7,0,9,0
16,0,0,0,9,0
16,0,1,0,9,0
16,0,2,0,9,0
16,0,3,0,9,0
16,0,4,0,9,0
16,0,5,0,9,0
16,0,6,0,9,0
0,0,-13,0,9,0
0,0,-14,0,9,0
1,0,-14,0,9,0
2,0,-14,0,9,0
3,0,-14,0,9,0
4,0,-14,0,9,0
5,0,-14,0,6,0
6,0,-14,0,9,0
7,0,-14,0,9,0
8,0,-14,0,9,0
9,0,-14,0,9,0
10,0,-14,0,9,0
11,0,-14,0,6,0
12,0,-14,0,9,0
13,0,-14,0,9,0
14,0,-14,0,9,0
15,0,-14,0,9,0
16,0,-14,0,9,0
16,0,-13,0,9,0
16,0,-12,0,9,0
16,0,-11,0,9,0
16,0,-10,0,9,0
16,0,-9,0,9,0
16,0,-8,0,9,0
16,0,-7,0,9,0
0,1,-14,0,9,0
0,1,-13,0,9,0
0,1,-12,0,9,0
0,1,-11,0,9,0
0,1,-10,0,6,0
0,1,-9,0,6,0
0,1,-8,0,9,0
0,1,-7,0,9,0
1,1,-14,0,9,0
2,1,-14,0,9,0
3,1,-14,0,9,0
4,1,-14,0,9,0
5,1,-14,0,6,0
6,1,-14,0,9,0
7,1,-14,0,9,0
8,1,-14,0,9,0
