x,y,z,objectNum,materialNum,rotation
0,0,0,0,8,0
0,0,1,0,8,0
0,0,2,0,8,0
0,0,3,0,8,0
0,0,4,0,8,0
0,0,5,0,8,0
0,0,7,0,8,0
1,0,7,0,8,0
2,0,7,0,8,0
3,0,7,0,8,0
4,0,7,0,8,0
5,0,7,0,6,0
6,0,7,0,8,0
7,0,7,0,8,0
8,0,7,0,8,0
9,0,7,0,8,0
10,0,7,0,8,0
11,0,7,0,6,0
12,0,7,0,8,0
13,0,7,0,8,0
14,0,7,0,8,0
15,0,7,0,8,0
16,0,7,0,8,0
16,0,0,0,8,0
16,0,1,0,8,0
16,0,2,0,8,0
16,0,3,0,8,0
16,0,4,0,8,0
16,0,6,0,8,0
16,0,-7,0,8,0
16,0,-8,0,8,0
16,0,-9,0,8,0
16,0,-10,0,8,0
16,0,-11,0,8,0
16,0,-12,0,8,0
16,0,-13,0,8,0
0,0,-13,0,8,0
0,0,-12,0,8,0
0,0,-11,0,8,0
0,0,-10,0,8,0
0,0,-9,0,8,0
0,0,-8,0,8,0
0,0,-7,0,8,0
16,1,0,0,8,0
16,1,1,0,8,0
16,1,2,0,6,0
16,1,3,0,6,0
16,1,4,0,8,0
16,1,5,0,8,0
16,1,6,0,8,0
16,1,7,0,8,0
0,1,7,0,8,0
1,1,7,0,8,0
2,1,7,0,8,0
3,1,7,0,8,0
4,1,7,0,8,0
5,1,7,0,6,0
6,1,7,0,8,0
7,1,7,0,8,0
8,1,7,0,8,0
9,1,7,0,8,0
10,1,7,0,8,0
11,1,7,0,6,0
12,1,7,0,8,0
13,1,7,0,8,0
14,1,7,0,8,0
0,1,0,0,8,0
0,1,1,0,8,0
0,1,2,0,6,0
0,1,3,0,6,0
0,1,4,0,8,0
0,1,6,0,8,0
16,1,-11,0,8,0
16,1,-10,0,6,0
16,1,-9,0,6,0
16,1,-8,0,8,0
16,1,-7,0,8,0
0,1,-12,0,8,0
0,1,-11,0,8,0
0,1,-9,0,6,0
0,1,-8,0,8,0
0,1,-7,0,8,0
16,2,0,0,8,0
16,2,1,0,8,0
16,2,2,0,6,0
16,2,3,0,6,0
16,2,4,0,8,0
16,2,5,0,8,0
16,2,6,0,8,0
16,2,7,0,8,0
0,2,7,0,8,0
1,2,7,0,8,0
2,2,7,0,8,0
3,2,7,0,8,0
4,2,7,0,8,0
5,2,7,0,6,0
6,2,7,0,8,0
7,2,7,0,8,0
8,2,7,0,8,0
9,2,7,0,8,0
10,2,7,0,8,0
11,2,7,0,6,0
12,2,7,0,8,0
13,2,7,0,8,0
14,2,7,0,8,0
15,2,7,0,8,0
0,2,6,0,8,0
0,2,0,0,8,0
0,2,1,0,8,0
0,2,2,0,6,0
0,2,3,0,6,0
0,2,4,0,8,0
16,2,-12,0,8,0
16,2,-11,0,8,0
16,2,-10,0,6,0
16,2,-9,0,6,0
16,2,-8,0,8,0
16,2,-7,0,8,0
0,2,-12,0,8,0
0,2,-11,0,8,0
0,2,-10,0,6,0
0,2,-9,0,6,0
0,2,-8,0,8,0
0,2,-7,0,8,0
16,3,0,0,8,0
16,3,1,0,8,0
16,3,2,0,8,0
16,3,3,0,8,0
16,3,4,0,8,0
16,3,5,0,8,0
16,3,6,0,8,0
16,3,7,0,8,0
0,3,7,0,8,0
1,3,7,0,8,0
2,3,7,0,8,0
3,3,7,0,8,0
4,3,7,0,8,0
5,3,7,0,6,0
6,3,7,0,8,0
7,3,7,0,8,0
8,3,7,0,8,0
9,3,7,0,8,0
10,3,7,0,8,0
11,3,7,0,6,0
12,3,7,0,8,0
13,3,7,0,8,0
14,3,7,0,8,0
15,3,7,0,8,0
0,3,6,0,8,0
0,3,0,0,8,0
0,3,1,0,8,0
0,3,2,0,8,0
0,3,3,0,8,0
0,3,4,0,8,0
0,3,5,0,8,0
16,3,-12,0,8,0
16,3,-11,0,8,0
16,3,-10,0,8,0
16,3,-9,0,8,0
16,3,-8,0,8,0
16,3,-7,0,8,0
0,3,-12,0,8,0
0,3,-11,0,8,0
0,3,-10,0,8,0
0,3,-9,0,8,0
0,3,-8,0,8,0
0,3,-7,0,8,0
0,4,-13,0,8,0
0,4,-12,0,8,0
0,4,-11,0,8,0
0,4,-10,0,8,0
0,4,-9,0,8,0
0,4,-8,0,8,0
0,4,-7,0,8,0
0,4,-6,0,8,0
0,4,-5,0,8,0
0,4,-4,0,8,0
0,4,-3,0,8,0
0,4,-2,0,8,0
0,4,-1,0,8,0
0,4,0,0,8,0
0,4,1,0,8,0
0,4,2,0,8,0
0,4,3,0,8,0
0,4,4,0,8,0
0,4,5,0,8,0
0,4,6,0,8,0
0,4,7,0,8,0
1,4,7,0,8,0
2,4,7,0,8,0
3,4,7,0,8,0
4,4,7,0,8,0
5,4,7,0,6,0
6,4,7,0,8,0
7,4,7,0,8,0
8,4,7,0,8,0
9,4,7,0,8,0
10,4,7,0,8,0
11,4,7,0,6,0
12,4,7,0,8,0
13,4,7,0,8,0
14,4,7,0,8,0
15,4,7,0,8,0
16,4,-13,0,8,0
16,4,-12,0,8,0
16,4,-11,0,8,0
16,4,-10,0,8,0
16,4,-9,0,8,0
16,4,-8,0,8,0
16,4,-7,0,8,0
16,4,-6,0,8,0
16,4,-5,0,8,0
16,4,-4,0,8,0
16,4,-3,0,8,0
16,4,-2,0,8,0
16,4,-1,0,8,0
16,4,0,0,8,0
16,4,1,0,8,0
16,4,2,0,8,0
16,4,3,0,8,0
16,4,4,0,8,0
16,4,5,0,8,0
16,4,6,0,8,0
16,4,7,0,8,0
0,0,-14,0,8,0
16,0,-14,0,8,0
1,0,-14,0,8,0
2,0,-14,0,8,0
3,0,-14,0,8,0
4,0,-14,0,8,0
5,0,-14,0,6,0
6,0,-14,0,8,0
7,0,-14,0,8,0
8,0,-14,0,8,0
9,0,-14,0,8,0
10,0,-14,0,8,0
11,0,-14,0,6,0
12,0,-14,0,8,0
13,0,-14,0,8,0
14,0,-14,0,8,0
15,0,-14,0,8,0
16,1,-14,0,8,0
16,1,-13,0,8,0
16,2,-14,0,8,0
16,2,-13,0,8,0
16,3,-14,0,8,0
16,3,-13,0,8,0
0,1,-14,0,8,0
1,1,-14,0,8,0
2,1,-14,0,8,0
3,1,-14,0,8,0
4,1,-14,0,8,0
5,1,-14,0,6,0
6,1,-14,0,8,0
7,1,-14,0,8,0
8,1,-14,0,8,0
9,1,-14,0,8,0
10,1,-14,0,8,0
11,1,-14,0,6,0
12,1,-14,0,8,0
13,1,-14,0,8,0
14,1,-14,0,8,0
15,1,-14,0,8,0
0,1,-13,0,8,0
0,2,-14,0,8,0
1,2,-14,0,8,0
2,2,-14,0,8,0
3,2,-14,0,8,0
4,2,-14,0,8,0
5,2,-14,0,6,0
6,2,-14,0,8,0
7,2,-14,0,8,0
8,2,-14,0,8,0
9,2,-14,0,8,0
10,2,-14,0,8,0
11,2,-14,0,6,0
12,2,-14,0,8,0
13,2,-14,0,8,0
14,2,-14,0,8,0
0,3,-14,0,8,0
1,3,-14,0,8,0
2,3,-14,0,8,0
3,3,-14,0,8,0
4,3,-14,0,8,0
5,3,-14,0,6,0
6,3,-14,0,8,0
7,3,-14,0,8,0
8,3,-14,0,8,0
9,3,-14,0,8,0
10,3,-14,0,8,0
11,3,-14,0,6,0
12,3,-14,0,8,0
13,3,-14,0,8,0
14,3,-14,0,8,0
15,3,-14,0,8,0
0,2,-13,0,8,0
0,3,-13,0,8,0
0,4,-14,0,8,0
1,4,-14,0,8,0
2,4,-14,0,8,0
3,4,-14,0,8,0
4,4,-14,0,8,0
5,4,-14,0,6,0
6,4,-14,0,8,0
7,4,-14,0,8,0
8,4,-14,0,8,0
9,4,-14,0,8,0
10,4,-14,0,8,0
11,4,-14,0,6,0
12,4,-14,0,8,0
13,4,-14,0,8,0
14,4,-14,0,8,0
15,4,-14,0,8,0
16,4,-14,0,8,0
0,1,-10,0,6,0
0,1,5,0,8,0
0,2,5,0,8,0
0,0,6,0,8,0
16,0,5,0,8,0
15,2,-14,0,8,0
16,1,-12,0,8,0
15,1,7,0,8,0
